Fecha,Region,Estado,Municipio,Marca,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-19,Sur,Oaxaca,Oaxaca de Juárez,,JUAN ANTONIO VERA CARRIZAL,PL/2230/EXP/ES/2015,,22.52,,
2026-08-19,Noreste,Nuevo León,Apodaca,,PETROMAX SA DE CV,PL/466/EXP/ES/2015,,23.24,29.26,27.64
2026-08-19,Noreste,Nuevo León,Cadereyta Jiménez,,PETROMAX SA DE CV,PL/13579/EXP/ES/2016,,23.42,28.81,27.30
2026-08-19,Centro,Querétaro,Querétaro,,GPDC ESTACIONES DE SERVICIO SA DE CV,PL/4609/EXP/ES/2015,,22.55,27.54,
2026-08-19,Sur,Chiapas,Villaflores,,DELFINA MORALES RODRIGUEZ,PL/4533/EXP/ES/2015,,23.62,28.20,26.80
2026-08-19,Noreste,Nuevo León,Galeana,,ESTACION SANTA RITA SA DE CV,PL/5500/EXP/ES/2015,,23.77,27.80,27.36
2026-08-19,Occidente,Guanajuato,León,,MEGA GASOLINERAS SA DE CV,CNE/PL/442/EXP/ES/2025,,22.87,28.09,
2026-08-19,Noroeste,Sinaloa,Escuinapa,,SERVICIO LERMA DEL PACIFICO SA DE CV,PL/2961/EXP/ES/2015,,23.27,29.14,27.41
2026-08-19,Occidente,Zacatecas,Ojocaliente,,GASISLO 2000 SA DE CV,PL/4739/EXP/ES/2015,,23.14,29.41,26.67
2026-08-19,Sur,Chiapas,Tuxtla Gutiérrez,,DINOGAS SA DE CV,PL/2981/EXP/ES/2015,,23.77,28.56,
2026-08-19,Norte,Chihuahua,Juárez,,SUPER S RAPIDITOS BIP BIP SA DE CV,PL/5121/EXP/ES/2015,,23.67,,27.26
2026-08-19,Norte,Chihuahua,Nuevo Casas Grandes,,GASOLINERA BOQUILLA SA DE CV,PL/6969/EXP/ES/2015,,22.57,28.59,27.62
2026-08-19,Noroeste,Sinaloa,Mazatlán,,PETROPLAZAS SA DE CV,PL/12063/EXP/ES/2015,,24.30,28.69,
